OBJECTID,Descriptio,LastUpdate,Limit_A,Maintenanc,Maintena_1,MaxSpeed_1,MaxSpeed_2,Mounting,NonTSMComp,Repeater,Size,Status,STATUS_ID,X_ITM,Y_ITM
1,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,715902.826100000180304,726976.335699999704957
2,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716340.335300000384450,726447.198200000450015
3,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716339.661700000055134,726740.497500000521541
4,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716380.380199999548495,726398.003100000321865
5,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,715746.234899999573827,727306.002199999988079
6,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716003.121199999935925,727002.122300000861287
7,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716350.370199999772012,726329.210500000044703
8,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,715916.127899999730289,726973.975800000131130
9,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,,,30,0,,0,0,750mm,Periodic (Byelaw),3,716392.869300000369549,726812.169600000604987
10,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours. Maintenance - Obscured.,20160113,30 Km/h,Obscured,High,30,0,Bracket Mounted,0,0,750mm,Periodic (Byelaw),3,715737.781999999657273,727297.343100000172853
11,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,Obscured,High,30,0,Bracket Mounted,0,0,750mm,Periodic (Byelaw),3,716345.317599999718368,726602.871899999678135
12,30km/hr Variable 07:30-09:30 & 13:00-16:30 during standardised school year. 50km/hr outside these hours.,20160113,30 Km/h,Obscured,High,30,0,Bracket Mounted,0,0,750mm,Periodic (Byelaw),3,716361.989599999971688,726322.351099999621511
