X,Y,Limit_A,Limit_B,Status,Repeater,NonTSMComp,Size,STATUS_ID,MaxSpeed_1,MaxSpeed_2,LastUpdate,Mounting,Descriptio,Maintenanc,Maintena_1,_full_text,X_ITM,Y_ITM
-6.128617657,53.24115523,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20151116,Bracket Mounted,,,,,724909.4769,722832.0397
-6.136430527,53.29222732,50 Km/h,,Standard,0,0,600mm,8,50,0,20151222,,"Maintenance - Pole knocked, kerb offset 250mm.",Damaged Pole,High,,724239.8782,728500.4206
-6.14118286,53.24988743,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20151116,, Maintenance - sleeves faded.,,Low,,724045.6076,723781.6561
-6.135012548,53.26603353,50 Km/h,,Standard,0,0,600mm,8,50,0,20160108,Bracket Mounted,"Maintenance - Sign has minor damage, kerb offset 350mm.",Damaged Sign,Low,,724410.4625,725588.7042
-6.262954047,53.27442716,50 Km/h,,Standard,1,1,600mm,8,50,0,20160111,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Sign has minor damage, kerb offset 400mm.",Damaged Sign,Low,,715853.7529,726307.4959
-6.219301506,53.31032562,50 Km/h,,Standard,0,1,300mm,8,50,0,20151201,Bracket Mounted,"Non TSM - Sign too small. Maintenance -Sleeves faded, kerb offset not 450mm.",Inappropriate,High,,718665.3881,730373.0823
-6.178839133,53.25353543,120 Km/h,,Standard,0,0,,8,120,0,20160129,Bracket Mounted,,,,,721522.5702,724122.8374
-6.181675012,53.28108034,50 Km/h,,Standard,1,0,300mm,8,50,0,20151210,,"Maintenance - Sign rotated and barely visible, fit sleeves.",Obscured,High,,721255.3859,727182.5387
-6.198667181,53.27635216,50 Km/h,,Standard,1,0,300mm,8,50,0,20151217,,Maintenance - Sleeves faded.,,Low,,720135.6268,726627.8042
-6.150400846,53.24135294,120 Km/h,,Standard,0,0,900mm,8,120,0,20160201,Bracket Mounted,Photograph - Sign with graffiti damage has been replaced.,,,,723455.0854,722816.2013
-6.115145802,53.26985764,50 Km/h,,Standard,1,0,300mm,8,50,0,20151120,Bracket Mounted,"Maintenance - Kerb offset 150mm, sleeves slightly faded.",,Low,,725724.3867,726048.917
-6.267271533,53.30617552,50 Km/h,,Standard,1,1,600mm,8,50,0,20151216,Bracket Mounted,Non TSM - County boundary sign. Maintenance - Pole at an angle.,Damaged Pole,High,,715480.1575,729832.7396
-6.209763602,53.30480812,60 Km/h,,Standard,0,0,600mm,8,60,0,20151201,Bracket Mounted,Maintenance - Sleeves faded.,,Low,,719316.318,729775.1105
-6.215892548,53.21121147,50 Km/h,,Standard,0,1,600mm,8,50,0,20160115,,Non TSM - County boundary sign. Maintenance - Sign edge 100mm over road.,,Low,,719167.7902,719351.7236
-6.2977547,53.24288057,50 Km/h,,Standard,1,1,600mm,8,50,0,20160114,,"Non TSM - County boundary sign. Maintenance - Not at county boundary, sign very dirty, road offset 400mm.",Inappropriate,High,,713616.4747,722741.8641
-6.111025492,53.28507912,50 Km/h,,Standard,1,0,300mm,8,50,0,20151119,Bracket Mounted,"Maintenance - Sign face damaged, fit sleeves, kerb offset 180mm.",Damaged Sign,Low,,725954.4259,727749.6275
-6.157327603,53.26554285,80 Km/h,60 Km/h,Standard,1,0,600mm,8,80,60,20151117,Bracket Mounted,"Traffic Lanes Speed Limit 80kmh, Bus Lane Speed Limit 60kmh (South Bound).",,,,722923.4134,725495.5041
-6.125503052,53.2248447,50 Km/h,,Standard,1,1,600mm,8,50,0,20151126,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 100mm, sleeves slightly faded.",,Low,,725164.9214,721022.8778
-6.137677909,53.29613792,30 Km/h,,Standard,1,1,450mm,8,30,0,20160202,Bracket Mounted,Non TSM - Sign too big. Mounting - Mounted on pole above Speed Alert Sign.,,,,724145.385,728933.3261
-6.216346279,53.27085698,100 Km/h,,Standard,0,0,,8,100,0,20160201,Bracket Mounted,,,,,718971.9295,725986.8591
-6.286970244,53.26732918,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,714271.0377,725479.133
-6.220786627,53.25677314,50 Km/h,,Standard,1,0,300mm,8,50,0,20151209,Bracket Mounted,"Maintenance - Kerb offset of speed sign 350mm, height 1.9m, minor damage to sign face.",Damaged Sign,Low,,718714.7865,724412.5657
-6.135845946,53.20379231,50 Km/h,50 Km/h,Standard,1,1,,8,50,50,20151125,Bracket Mounted,"Non TSM - Sign too big. Maintenance - One sign has minor damage, sleeves faded, kerb offset 200mm.",Damaged Sign,Low,,724535.4207,718662.6699
-6.116823716,53.23941833,30 Km/h,,Standard,0,0,600mm,8,30,0,20151124,Bracket Mounted,"Not in Bye laws. Maintenance - Missing 50kmh sign, mounted on stop sign, face damaged, height 1.44m.",Missing,High,,725701.6992,722659.4724
-6.162474864,53.27537843,50 Km/h,,Standard,1,0,300mm,8,50,0,20151204,Bracket Mounted,"Maintenance - Height 2m beside cycle track, pole at an angle, sleeves faded.",Damaged Pole,Low,,722551.9404,726580.9229
-6.247147956,53.31031926,50 Km/h,,Standard,1,1,600mm,8,50,0,20151209,Bracket Mounted,Non TSM - County boundary sign. Maintenance - Minor damage to sign.,Damaged Sign,Low,,716809.8902,730326.4793
-6.194227542,53.29945185,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20151201,Bracket Mounted,"Non TSM - Signs too big. Maintenance - Sign obscured, fit sleeves.",Obscured,High,,720366.7374,729205.2531
-6.21287236,53.27029015,60 Km/h,,Standard,0,0,,8,60,0,20160201,Bracket Mounted,No 60kmh Speed limit in Bye Laws at this location.,Inappropriate,High,,719205.2,725929.5836
-6.246875077,53.26907913,100 Km/h,,Standard,0,0,600mm,8,100,0,20160201,,Wrong location - Should be further back towards roundabout. Maintenance - Cut back vegetation.,Inappropriate,High,,716940.6548,725738.6784
-6.135155223,53.2451539,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20151116,Bracket Mounted,"Maintenance - height 1.9m, kerb offset 200mm, both faces damaged, sleeves faded, rotate 50kmh face, 900mm  between wall and pole.",Damaged Sign,Low,,724461.5517,723265.5073
-6.13483261,53.2757608,60 Km/h,,Standard,1,0,600mm,8,60,0,20151222,,Mounting - Mounted on Lp.,,,,724394.2193,726671.221
-6.19690117,53.24081802,50 Km/h,50 Km/h,Standard,1,0,450mm,8,50,50,20151124,Cap Mounted,Maintenance - Sign slightly rotated.,,Low,,720353.1259,722677.4068
-6.193958728,53.28612027,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Kerb offset 100mm, sleeves faded.",,Low,,720422.1483,727722.4878
-6.148164571,53.2610774,80 Km/h,60 Km/h,Standard,1,0,600mm,8,80,60,20151116,Bracket Mounted,"Traffic Lanes Speed Limit 80kmh, Bus Lane Speed Limit 60kmh (South Bound). Maintenance - minor damage to face.",Damaged Sign,Low,,723547.4851,725014.5002
-6.196484296,53.28903374,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Pole at slight angle, kerb offset 300mm, sleeves faded, 60kmh face rotated.",Damaged Pole,Low,,720245.5839,728042.3756
-6.229537294,53.27197289,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,718089.0765,726089.1342
-6.234829173,53.26539214,50 Km/h,,Standard,1,0,300mm,8,50,0,20160111,,Mounting - Mounted on Tp. Maintenance - Obscured.,Obscured,High,,717754.2256,725348.254
-6.215750166,53.28106863,50 Km/h,50 Km/h,Standard,1,1,750mm,8,50,50,20160113,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Fit sleeves, minor damage both faces, one face obscured.",Damaged Sign,High,,718983.3205,727123.9599
-6.220915587,53.27245888,50 Km/h,,Standard,0,0,600mm,8,50,0,20160115,Bracket Mounted,Maintenance - Fit sleeves,,Low,,718662.7421,726157.4833
-6.229011288,53.2697036,50 Km/h,,Standard,1,0,300mm,8,50,0,20151209,Bracket Mounted,,,,,718130.4143,725837.5303
-6.181845618,53.22142404,80 Km/h,,Standard,1,0,600mm,8,80,0,20151125,Bracket Mounted,Maintenance - Obscured by vegetation,Obscured,High,,721412.8237,720545.1834
-6.210664537,53.25086337,50 Km/h,,Standard,1,0,300mm,8,50,0,20151124,Bracket Mounted,Maintenance - Sleeves dirty.,,Low,,719406.5611,723771.9283
-6.209459907,53.22374496,50 Km/h,,Standard,1,0,300mm,8,50,0,20160107,Bracket Mounted,Maintenence - Road offset 450mm.,,Low,,719562.5005,720756.8735
-6.180959583,53.30224778,50 Km/h,,Standard,1,1,600mm,8,50,0,20151201,Bracket Mounted,"Non TSM - Signs too big. Maintenance -Kerb offset 190mm, sign damaged, at angle & rotated, sleeves faded.",Damaged Sign,Low,,721243.1297,729538.7523
-6.169812956,53.27192155,80 Km/h,,Standard,1,0,600mm,8,80,0,20160107,Bracket Mounted,Maintenance - Replace missing sleeves (Not start of 80kmh zone).,,Low,,722072.4309,726183.7678
-6.198054683,53.25790873,50 Km/h,,Standard,1,0,300mm,8,50,0,20151217,,Mounting - Mounted on Lp.,,,,720228.2082,724576.8984
-6.142943077,53.24436053,50 Km/h,,Standard,0,0,600mm,8,50,0,20151123,Bracket Mounted,"Maintenance - Kerb offset less than 450mm, pole at slight angle.",,Low,,723944.1274,723163.7115
-6.159481743,53.26965463,50 Km/h,,Standard,1,0,300mm,8,50,0,20151204,Bracket Mounted,"Maintenance - Height 1.73m beside cycle track, sign face damaged.",Damaged Sign,Low,,722767.9452,725949.2576
-6.19363099,53.27445681,50 Km/h,,Standard,1,1,600mm,8,50,0,20151203,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 300mm, pole at an angle, sleeves faded.",Damaged Pole,Low,,720476.8024,726425.4131
-6.192904977,53.28247359,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Pole angled, sleeves faded, kerb offset 100mm, 50kmh face has minor damage, both faces slightly rotated.",Damaged Pole,Low,,720502.664,727318.5496
-6.224397623,53.28157074,50 Km/h,,Standard,1,1,750mm,8,50,0,20151210,Bracket Mounted,Non TSM - Sign too big. Maintenance - Sign face minor damage.,Damaged Sign,Low,,718405.3264,727165.4594
-6.126594332,53.28591315,50 Km/h,,Standard,1,0,300mm,8,50,0,20151119,Bracket Mounted,"Maintenance - Minor damage to sign face, fit sleeves.",Damaged Sign,Low,,724913.9882,727815.0877
-6.201672089,53.29274012,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151130,Bracket Mounted,"Maintenance - 50kmh sign slightly rotated, sleeves faded.",,Low,,719889.3519,728446.0157
-6.21363506,53.30105413,50 Km/h,,Standard,1,1,600mm,8,50,0,20160106,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 250mm, sleeves faded.",,Low,,719068.7598,729350.9965
-6.219341105,53.26749664,50 Km/h,,Standard,1,0,450mm,8,50,0,20160111,,Mounting - Mounted on Lp.,,,,718781.5042,725608.02
-6.130294134,53.24239073,80 Km/h,,Standard,1,0,450mm,8,80,0,20151116,Bracket Mounted,Maintenance - sleeves faded,,Low,,724793.9931,722966.5664
-6.253895684,53.27175211,50 Km/h,,Standard,1,0,300mm,8,50,0,20151016,,,,,,716465.1268,726024.6016
